,Job Title,Location,Post Time,Job Attributes,Job Description
1,"Software Engineer, Automated Mapping | Toyota",los altos,Tue 31 Mar 10:02:04 AM,"
compensation: Competitive

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply


HireArt is helping TRI hire a skilled and highly motivated Software Engineer to support the development and performance of high-definition maps for autonomous driving. In an era of increasing vehicle automation, having up-to-date and highly accurate maps is critical to ensuring safe vehicle operation both on the highway and on surface roads. As Software Engineer, Mapping, you’ll have the opportunity to work with engineers and researchers innovating in autonomous mapping and driving technology. The ideal candidate is an adept engineer experienced in Linux, Git, and C++. You're also a great communicator, collaborator, and problem-solver. As Software Engineer, Mapping you will:
Collaborate with other software engineers and research scientists to improve the software behind maintaining high-definition maps for autonomous driving.
Be at the front-line interfaces between engineers, researchers, and map annotators to decrease turn-around time for map updates and feature requests.
With the guidance of senior software engineers, implement high-quality software to allow for both high-performance and easily understandable and maintainable software.
Live and breathe the software practices that produce maintainable code, including automated testing, continuous integration, code style conformity, and code review.


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply


Requirements

B.S. in Computer Science or a related field
2+ years of professional experience in related position
A great team player and collaborator
Strong communication skills 
Experienced in Linux, Git, and C++.
Experience with 3D graphics/OpenGL preferred
Ability to work with Python code as needed
Commitment: This is a full-time (40 hours per week), 6-month contract position with potential for extension. This role is staffed via HireArt and based in Los Altos, CA. HireArt provides Equal Employment Opportunity without regard to the applicant's race, color, creed, gender, gender identity or expression, sexual orientation, national origin, age, physical or mental disability, medical condition, religion, marital status, genetic information, veteran status, or any other status protected under federal, state or local laws.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply


About Toyota
At Toyota Research Institute (TRI), we’re working to build a future where everyone has the freedom to move, engage, and explore with a focus on reducing vehicle collisions, injuries, and fatalities. Join us in our mission to improve the quality of human life through advances in artificial intelligence, automated driving, robotics and materials science. We’re dedicated to building a world of “mobility for all” where everyone, regardless of age or ability, can live in harmony with technology to enjoy a better life. Through innovations in AI, we’ll...● Develop vehicles incapable of causing a crash, regardless of the actions of the driver.● Develop technology for vehicles and robots to help people enjoy new levels of independence, access, and mobility.● Bring advanced mobility technology to market faster.● Discover new materials that will make drive batteries and hydrogen fuel cells smaller, lighter, less expensive and more powerful.Our work is guided by a dedication to safety – in how we research, develop, and validate the performance of vehicle technology to benefit society. As a subsidiary of Toyota, TRI is fueled by a diverse and inclusive community of people who carry invaluable leadership, experience, and ideas from industry-leading companies. Over half of our technical team carries PhD degrees. We’re continually searching for the world’s best talent ‒ people who are ready to define the new world of mobility with us!We strive to build a company that helps our people thrive, achieve work life balance, and bring their best selves to work. At TRI, you will have the opportunity to enjoy the best of both worlds ‒ a fun start up environment with brilliant people who enjoy solving tough problems and the financial backing to successfully achieve our goals. If you’re passionate about working with smart people to make cars safer, enable the elderly to age in place, or design alternative fuel sources, TRI is the place for you. ‒ Start your impossible with us. 
If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply

 "
2,Autonomous Vehicle Safety Driver | $30 - $36 per hour,palo alto,Tue 31 Mar 10:01:58 AM,"
compensation: $30 - $36 per hour

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/5ade7735/apply


Our client, a very well-known ridesharing company, is searching for an experienced Safety Driver for their Palo Alto office to  aid in the testing and development of autonomous technology. The ideal candidate has experience working in a fast-paced, high-growth environment. You love a good challenge and are comfortable working as part of a distributed team. You are interested in the autonomous vehicle space and feel comfortable working alongside other operators and engineers. On top of your proven history of success, you have a passion for technology and, like us, you value hard work and fun in equal measure.  

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/5ade7735/apply


Requirements

Having a ""safety first"" attitude. Keeping the vehicle, team, and public safe at all times
Operate self-driving vehicles in both autonomous and manual modes between 6-8 hours a day, 5 days a week
Collaborate with operations and engineers to follow collection/missions procedures
Execute established procedures, processes, and checklists
Provide reliable and honest feedback to operations and engineer teams on test processes and performance
Being an ambassador for the technology and team
Quickly and efficiently operate proprietary software in a moving vehicle and willingness to learn new applications
Requirements:
1-2 years of Autonomous Vehicle testing experience preferred
BS/BA degree in any field, or equivalent practical work experience
Valid US Driver's license with at least 7 years driving experience, and a clean driving record (no more than 1 point in the last 3 years)
Experience with workflow management systems, preferably JIRA
Familiarity with bash/linux command line prompts is a plus
Ability to travel up to 25% of the time

Commitment: This is a full-time role, staffed through a third party agency.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/5ade7735/apply

 "
3,Multiple Positions,N/A,Tue 31 Mar 12:07:06 AM,"
compensation: TBD

employment type: full-time

","

QR Code Link to This Post


Cisco Systems, Inc. is accepting resumes for the following position in San Jose/Milpitas/Santa Clara, CA: Advertising Media and Sponsorship Specialist (Ref#: SJ569A): Develop paid social campaigns across social channels like Facebook, LinkedIn and Twitter to deliver against established KPI’s (key performance indicators). Business Analyst (Ref#: SJ011A): Use Case/Business case development skills by interfacing with subject matter experts in business operations, business process, Org Adoption and IT team members. Business Operations Manager (Ref#: SJ051A): Provide business planning assistance, periodic measurements of effectiveness, and facilitate efforts to optimize operational efficiency through business process definition and re-engineering. Market Manager, Market Intelligence (Ref#: SJ469A): Lead a complex program, involving scope alignment with local and international business leaders, design, collect data, analyze, and formulate recommendations for measuring the effectiveness of marketing, advertising, and communications programs and strategies.

Please mail resumes with reference number to Cisco Systems, Inc., Attn: G51G, 170 W. Tasman Drive, Mail Stop: SJC 5/1/4, San Jose, CA 95134.  No phone calls please.  Must be legally authorized to work in the U.S. without sponsorship.  EOE.  
www.cisco.com
"
4,Multiple Positions,N/A,Mon 30 Mar 11:58:21 PM,"
compensation: TBD

employment type: full-time

","

QR Code Link to This Post


Cisco Systems, Inc. is accepting resumes for the following positions in San Jose/Milpitas/Santa Clara, CA: Technical Marketing Engineer (Ref#: SJ014A): Responsible for enlarging company’s market and increasing revenue by marketing, supporting, and promoting company’s technology to customers. Technical Marketing Engineer Ref#: SJ214A): Responsible for enlarging company's market and increasing revenue by marketing, supporting, and promoting company's technology to customers.  Telecommuting permitted. Technical Marketing Engineer (Ref#: SJ314A): Responsible for enlarging company’s market and increasing revenue by marketing, supporting, and promoting company’s technology to customers. Travel may be required to various unanticipated locations throughout the United States and/or abroad.

Please mail resumes with reference number to Cisco Systems, Inc., Attn: G51G, 170 W. Tasman Drive, Mail Stop: SJC 5/1/4, San Jose, CA 95134.  No phone calls please.  Must be legally authorized to work in the U.S. without sponsorship.  EOE.
www.cisco.com

"
5,Multiple Positions,N/A,Mon 30 Mar 11:50:38 PM,"
compensation: TBD

employment type: full-time

","

QR Code Link to This Post


Cisco Systems, Inc. is accepting resumes for the following positions in San Francisco, CA: Technical Marketing Engineer (Ref#: SF014A): Responsible for enlarging company's market and increasing revenue by marketing, supporting, and promoting company's technology to customers.  Technical Marketing Engineer (Ref#: SF414A): Serve as a subject matter expert and key technical advisor for the product and its current and future capabilities.

Please mail resumes with reference number to Cisco Systems, Inc., Attn: G51G, 170 W. Tasman Drive, Mail Stop: SJC 5/1/4, San Jose, CA 95134.  No phone calls please.  Must be legally authorized to work in the U.S. without sponsorship.  EOE.  
www.cisco.com
"
6,Senior Business Systems Analyst (IT QA),downtown / civic / van ness,Mon 30 Mar 05:44:59 PM,"
compensation: Commensurate with education and experience, W-2, 1099, or C2C, must be in US without sponsorship

employment type: contract

","

QR Code Link to This Post


Sierra Cybernetics is seeking a Senior Business Systems Analyst, focused on Quality Assurance needs, to work for us at our government client’s site in downtown San Francisco.

This assignment is expected to last 1 – 3 years.

You will be working on the Civil, Small Claims, Probate, and Mental Health Case Management System (CMS V3) used in four Superior Courts (Orange, Sacramento, San Diego, and Ventura). CMS V3 functionality enables the courts to process and administer their civil caseloads, automating activities in case initiation and maintenance, courtroom proceedings, calendaring, work queues, payment, and financial processing.

The requested WORF services would provide maintenance and support for CMS V3:
•	Lead quality assurance, testing, and support for: bi-annual legislative changes, defect remediation, judicial branch requirements, software component upgrades, and court enhancement requests 
•	Provide subject matter expertise in converting CMS V3 to other case management systems 
•	Elicit and analyze business and technical requirements in order to provide V3 subject matter expertise and level of effort estimates for changes
•	Develop test plans for releases, patches, and hot fixes
•	Use expertise in testing tools and quality assurance processes to ensure system functions according to specifications 
•	Plan and coordinate with the hosting vendor for both planned and emergency change requests
•	Support the court and technical support staff, performing analysis to determine root cause and solution for reported defects
•	Support day to day system operations and product releases

Minimum Job-Specific Skills/Qualifications Required (in order of relative importance):

Ten (10) years quality assurance experience with a working knowledge of:

1.	Leading, developing, and executing key QA processes and procedures
2.	Performance testing using LoadRunner, including script development and maintenance
3.	Tracking and documenting quality metrics during testing cycles
4.	Configuring and troubleshooting an electronic court case management system
5.	Sufficient knowledge of CMS V3 design to provide in-depth subject matter expertise for conversion activities to other case management systems - core application design and business rules
6.	Working independently and effectively across functional areas including development, application and infrastructure architecture, business support team, technical support team
7.	Gathering and analyzing requirements
8.	Translating business requirements into technical specifications and test plans and scripts
9.	Experience in Black Box, Functional, Integration, System, Regression, Load, Stress, Performance, Ad-hoc, User Acceptance testing 
10.	Developing level of effort analysis and documentation
11.	Creating wireframes and functional release notes for end users
12.	Leading functional demos and walkthroughs
13.	Rational Quality Manager script maintenance and troubleshooting
14.	Experience using ClearQuest
15.	Oracle 11g database
16.	Creating and executing SQL queries using TOAD or other methods and translate results into meaningful information
17.	Reading an XML schema
18.	Reviewing, manipulating, and creating XMLs using XMLSpy or other methods
19.	Rational Tool Suite
20.	Mercury/HP Testing Suite; Load Runner

Knowledge of:
•	Court case management operations and workflow
•	Middleware interoperability
•	Application Architecture

Desired Knowledge:
•	Knowledge of California Superior Court operations
"
7,Program Coordinator - Community Education/Enrollment Services,N/A,Mon 30 Mar 04:58:54 PM,N/A,"

QR Code Link to This Post




Program Coordinator - Community Education/Enrollment Services

Salary: See Position Description
Closing Date: 
Job Type: Full-time
Location: CA, CA

Description PRIORITY SCREENING DATE:  Monday, April 20, 2020.OPEN UNTIL FILLED All application materials must be received by the Priority Screening Date in order to be considered during the initial screening.  Applications received after this date may be considered thereafter at the discretion of the college until the position is filled.  ****************Under the direction of the Dean of Enrollment Services and the Director of Community Education, Lifelong Learning and International Education, this Program Coordinator is responsible for the logistical coordination and implementation of the transition of Community Education registration and course management from one student information system to another, as well as other operational and technological transitions. This position is also responsible for the development of a marketing, training and student outreach program related to these transitions. The Program Coordinator develops and implements program policies, guidelines and operating procedures and provides overall direction and guidance to the day-to-day operations, problem solving and decision-making regarding an assigned large-scale and complex program.DIVERSITY STATEMENT:College of Marin strives to embrace diversity in all forms: it strives to be an inclusive community that fosters an open, enlightened and productive environment and demonstrates sensitivity to and respect for a diverse population. COM serves a county population of approximately 250,000 residents. Based on fall 2019 credit enrollment data, the diversity of students at the college includes greater representation than the county with regards to enrollment by Hispanic/Latino (30% of enrollment), Asian (8%), Black/African American (3%), and Multi-racial (7%) students. College of Marin does not discriminate in employment on the basis of, or perception of, race, ethnic group identification, ancestry, color, religion, age, sex, national origin, sexual orientation, physical disability, mental disability, gender, gender identity, gender expression, marital status, medical condition, pregnancy, genetic information, family and medical care leave, military or veteran status, or prior record of arrest or conviction, and is subject to Title IX of the Education Amendments of 1972, Title VII of the Civil Rights Act of 1964 as amended, Civil Rights Act of 1991, Americans with Disabilities Act of 1990, and Section 504 of the Rehabilitation Act of 1973. In accordance with Executive order 11246 (as amended), the College of Marin is an Equal Opportunity Employer.Essential Functions  Provide overall direction and guidance to the day-to-day operations, problem solving and decision making regarding a large and complex assigned program; implement program policies and directives according to District, federal or State guidelines. Provide regular reports to management and federal/State agencies as requested; participate on program reviews; assure program compliance with federal or State program guidelines. Establish appropriate linkages to special populations or community groups served; promote program through participation in advocacy groups, associations and other local, regional or national organizations. Prepare funds applications; prepare grant requests and serve as the primary contact for large programs or multi-programs. Provide work direction and guidance to others assigned to the program; assign work to other classified personnel, students, volunteers and others. Conduct regular meetings to communicate, review and revise program guidelines. Develop, recommend and implement program plans and objectives; coordinate delivery of services to program participants; assure participation guidelines are followed. Assure program expenditures are within allocated budgets; monitor budgets; propose budget changes and participate in project budget applications as necessary. Serve as liaison between program personnel, participants, clients, administrators, faculty and students; provide information, program requirements and other pertinent information. Develop, coordinate, promote and oversee a broad range of programs. Develop workshop materials, promotional materials and other program documentation. Operate a computer and other office equipment as assigned. Plan, coordinate and prepare a variety of materials used in program literature, marketing, catalogs and brochures.OTHER FUNCTIONS:  Assists other personnel as may be required for the purpose of supporting them in the completion of their work activities.Requirements & Desirables REQUIREMENTS Bachelor's Degree with study in job related area and job related experience; or Any combination of education and training equivalent to (2) two years of college-level coursework from an accredited institution in a related field and (2) two years of responsible experience working in higher education; and Demonstrated sensitivity to and understating of the diverse academic, socioeconomic, cultural and ethnic backgrounds, disabilities and learning styles of community college students and staff.DESIRABLE QUALIFICATIONS Experience with Student Information Systems, such as Banner and Augusoft Lumens.  Project management experience. Experience with staff training and development. KNOWLEDGE, SKILLS AND ABILITIES: (DESIRABLE ATTRIBUTES & SKILLS):KNOWLEDGE OF: Planning and coordinating the day-to-day activities of assigned program. Policies, objectives and goals of assigned program. Development and presentation of programs and workshops. Applicable laws, codes, regulations, policies and procedures related to assigned program. Budget monitoring and control. Grant coordination and monitoring. Oral and written communication skills. Principles of training and providing work direction to others. Interpersonal skills using tact, patience and courtesy. Operation of a computer and assigned software. Word processing, graphics and desktop publishing.ABILITY TO: Provide overall direction and guidance to the day-to-day operations, problem solving and decision-making regarding a large-scale and complex program. Coordinate several programs simultaneously. Implement program policies and guidelines. Provide for program reporting and accountability. Prepare comprehensive program reports and reviews Establish and monitor program budgets. Interpret, apply and explain rules, regulations, policies and procedures. Establish and maintain cooperative and effective working relationships with others.SKILLS: Operate a computer and assigned office equipment. Operate a computer and other office equipment as assigned. Analyze situations accurately and adopt an effective course of action. Meet schedules and time lines. Work independently with little direction. Plan and organize work. Make public speaking presentations.CONDITIONS OF EMPLOYMENTPrior to employment, the selected candidate will be required to complete the following: In accordance with Federal Law all employees must provide proof of eligibility to work in the United States. Criminal Justice/Fingerprint Clearance. California Education Code, Section 87408.6 requires persons employed by a community college in an academic or classified position to submit to a TB risk assessment developed by CDPH and CTCA and, if risk factors are present, an examination to determine that he or she is free of infectious TB; initially upon hire and every four years thereafter. DISASTER SERVICE WORKERS:  All Marin Community College District (MCCD) employees are designated Disaster Service Workers through state and local law (California Government Code Section 3100-3109). Employment with the MCCD requires the affirmation of a loyalty oath to this effect. Employees are required to complete all Disaster Service Worker-related training as assigned, and to return to work as ordered in the event of an emergency. For more information, please see the MCCD Emergency Operations Plan. Candidates applying for positions with the Marin Community College District may be disqualified from consideration should their conviction history not meet the standards established under the California Education Code.REQUIRED APPLICATION DOCUMENTSThe following documents must be attached to your application in order to render it complete.  Use the Attachment Type indicated in parentheses when making your attachments.A.  Cover Letter (cover letter)B.  Resume (resume)Supplemental & Salary Information RESPONSIBILITY: Work under limited supervision, focusing primarily on results Provide information and/or advise other persons Operate within a defined budget and/or financial guidelines Utilization of resources from other work units may be required to perform the job's functions and the opportunity to impact the Organization's servicesWORKING ENVIRONMENT: Dexterity of hands and fingers to operate a computer keyboard Hearing and speaking to exchange information in person and on the telephone Sitting and/or standing for extended periods of time Seeing to read a variety of materials Bending at the waist, kneeling or crouching to file materials Reaching overhead, above the shoulders and horizontally Generally the job requires 70% sitting, 15% walking and 15% standing Office environment Constant interruptionsWORK SCHEDULECampus:  Kentfield & Indian Valley Campus (Novato) Note: Temporary remote working during COVID-19.Full-time Equivalent:  1.0 - Full-timeMonths per Year:  12Work Days/Hours:Monday - Friday7.5 Hours per Day37.5 Hours per Week NOTE:  The College is closed on Fridays during the summer period, when the work schedule may change according to departmental needs.SALARY INFORMATIONFLSA Status:  Non-exemptSalary Range:  CSEA 127Starting Salary Range:  $6,032.00 to $6,652.75 per month (Step A to C).  Normal entering step is Step A. Please refer to our Human Resources web site for salary schedules.BARGAINING UNIT & RETIREMENT PLANEmployees in classifications represented by the California School Employees' Association (CSEA) Chapter 196 and are required to comply fully with the CSEA/Marin Community College District (MCCD) Collective Bargaining Agreement, including payment of union dues or charitable contributions. General information regarding rights and responsibilities under the Agreement can be found in the Collective Bargaining Agreements section of our Human Resources site.  CSEA employees are also members of the California Public Employees Retirement System (CalPERS), to which the member contributes up to 7% of his/her reportable compensation on a monthly basis. SELECTION PROCESSApplications must include the documents listed in the Required Documents section to be rendered complete; incomplete applications will not be accepted.  Screening will begin after the priority screening date.  Applicants selected to interview will be contacted to schedule an interview appointment with the screening committee; however, applicants will be notified of their status, either way, following the screening. Candidates forwarded by the committee following the first interview may be invited for a second interview.  Regrettably, College of Marin is not able to offer reimbursement for travel to interviews at this time. 
To apply: https://www.governmentjobs.com/careers/collegeofmarin/jobs/2753469/program-coordinator-community-education-enrollment-services?pagetype=promotionalJobs





Copyright 2017 Jobelephant.com Inc. All rights reserved.

Posted by the FREE value-added recruitment advertising agency 
jeid-91a1b7ca5580d443a69a9932cfbe93e3    "
8,Data Science Fellowship,N/A,Mon 30 Mar 02:55:32 PM,"
compensation: 80,000-160,000

employment type: full-time

telecommuting okay

","

QR Code Link to This Post


What is Pathrise

Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from heads of marketing of publicly traded companies to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 500 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship

The Pathrise Fellowship is a program for students and new grads that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry data scientists, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission

We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications

You want to work with an experienced advisor who can give you expert advice.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=sfdata&utm_medium=job_board "
9,Product Management Fellowship,N/A,Mon 30 Mar 02:53:15 PM,"
compensation: 80,000-160,000

employment type: full-time

telecommuting okay

","

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued tech professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 600 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new professionals that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for tech professionals in their career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are interested in getting the best possible job in tech.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=sfproduct&utm_medium=job_board
"
10,Software Engineering Fellowship,N/A,Mon 30 Mar 02:47:01 PM,"
compensation: 80,000-160,000

employment type: full-time

telecommuting okay

","

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued tech professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 600 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new professionals that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for tech professionals in their career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are interested in getting the best possible job in tech.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=sfswe&utm_medium=job_board
"
